Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
3;8;29.47309809085;10.758482449753;12.519392144956;1.5896208854662;0.1532974765092;0.010914206569262;0;100;0.13796772885828;0.012989768459214;0;100;0.12417095597245;0.018172587777847;0;100;0.1117538603752;0.028872989918067;0;100;0.10057847433768;0.048351929670702;0;100;0.090520626903916;0.080600829285884;0;100;0.081468564213524;0.13322729234825;0;100;0.073321707792172;0.22407588375877;1;99;0.065989537012955;0.37793440461498;11;89;0.059390583311659;0.64396566667252;13;87;0.053451524980493;1.080564596582;19;74;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
0;1;31.130154522136;23.627972990076;8.6013161953473;0.52039201108835;0.33667468108045;0.015095497166353;0;100;0.30300721297241;0.021618505744874;0;100;0.27270649167517;0.035256693237556;0;100;0.24543584250765;0.060212307691122;0;100;0.22089225825688;0.10199760336435;0;100;0.1988030324312;0.1704957878209;5;95;0.17892272918808;0.28168617029948;47;41;0.16103045626927;0.47305453727261;47;13;0.14492741064234;0.79828741547881;40;8;0.13043466957811;1.2458593549781;27;4;0.1173912026203;1.6028305075406;24;0;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
4;1;29.745423333719;17.92325326917;11.639923243206;-0.2460032309765;0.25538820388336;0.011872175209093;0;100;0.22984938349502;0.016761379387855;0;100;0.20686444514552;0.027013634208321;0;100;0.18617800063097;0.045228573821826;0;100;0.16756020056787;0.076585156260856;0;100;0.15080418051109;0.12820395211249;0;100;0.13572376245998;0.21265978240289;13;86;0.12215138621398;0.35737813374438;45;41;0.10993624759258;0.60700412237252;44;18;0.098942622833323;1.0136033037298;18;8;0.089048360549991;1.4507477052081;8;2;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
8;6;29.038977533579;14.840175255311;5.8088607377551;-0.61549466533008;0.21145746488145;0.0113796414998;0;100;0.1903117183933;0.014922861781569;0;100;0.17128054655397;0.022895188055711;0;100;0.15415249189858;0.037816772574855;0;100;0.13873724270872;0.063642757786555;0;100;0.12486351843785;0.10680851365122;0;100;0.11237716659406;0.17949310208219;13;87;0.10113944993466;0.30076852709228;64;36;0.09102550494119;0.51362172531585;77;22;0.081922954447071;0.87576514279778;62;29;0.073730659002364;1.3378910422024;56;17;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
0;7;28.381425752304;10.391474755431;4.3642034418244;0.72033506605946;0.14806798928583;0.0059761472495248;0;100;0.13326119035725;0.0091147556131171;0;100;0.11993507132152;0.015376559704823;0;100;0.10794156418937;0.026379985851889;0;100;0.097147407770434;0.044292029205648;0;100;0.087432666993391;0.073858593885325;0;100;0.078689400294052;0.12424182611911;0;100;0.070820460264646;0.20958693941893;17;83;0.063738414238182;0.35761892489108;53;47;0.057364572814364;0.61513532679849;72;23;0.051628115532927;1.0276469523623;57;13;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
