Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
3;8;29.47309809085;10.758482449753;12.519392144956;1.5896208854662;0.1532974765092;0.15200561314246;100;0;0.13796772885828;0.15212682310771;100;0;0.12417095597245;0.15264056582161;100;0;0.1117538603752;0.15398059760064;100;0;0.10057847433768;0.15682060700131;100;0;0.090520626903916;0.16497083400063;100;0;0.081468564213524;0.18634159471871;100;0;0.073321707792172;0.2464168970264;100;0;0.065989537012955;0.37718078900422;100;0;0.059390583311659;0.62896957880575;98;0;0.053451524980493;1.061568587826;77;16;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
0;1;31.130154522136;23.627972990076;8.6013161953473;0.52039201108835;0.33667468108045;0.33210040342815;100;0;0.30300721297241;0.3324800739738;100;0;0.27270649167517;0.33361097671297;100;0;0.24543584250765;0.3358710813471;100;0;0.22089225825688;0.33997105486852;100;0;0.1988030324312;0.35286013163121;100;0;0.17892272918808;0.39468672165232;100;0;0.16103045626927;0.51419444234359;100;0;0.14492741064234;0.78782262432521;99;0;0.13043466957811;1.2220423016035;79;0;0.1173912026203;1.5883157553924;49;0;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
4;1;29.745423333719;17.92325326917;11.639923243206;-0.2460032309765;0.25538820388336;0.25389819888939;100;0;0.22984938349502;0.25410547071872;100;0;0.20686444514552;0.25483304765728;100;0;0.18617800063097;0.25598348767322;100;0;0.16756020056787;0.25903113427984;100;0;0.15080418051109;0.26881555808543;100;0;0.13572376245998;0.30033938839385;100;0;0.12215138621398;0.39113000890221;100;0;0.10993624759258;0.60091627452191;100;0;0.098942622833323;0.98981774570214;74;0;0.089048360549991;1.432113318521;29;0;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
8;6;29.038977533579;14.840175255311;5.8088607377551;-0.61549466533008;0.21145746488145;0.20932883746888;100;0;0.1903117183933;0.20952620721929;100;0;0.17128054655397;0.21012542177159;100;0;0.15415249189858;0.21106589257123;100;0;0.13873724270872;0.21330896556625;100;0;0.12486351843785;0.22084483532612;100;0;0.11237716659406;0.2475415593485;100;0;0.10113944993466;0.32489350374037;100;0;0.09102550494119;0.50507095920705;100;0;0.081922954447071;0.84937331949054;96;0;0.073730659002364;1.3149291165457;79;0;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
0;7;28.381425752304;10.391474755431;4.3642034418244;0.72033506605946;0.14806798928583;0.14745363738618;100;0;0.13326119035725;0.14762423298614;100;0;0.11993507132152;0.1480831922274;100;0;0.10794156418937;0.14932354325178;100;0;0.097147407770434;0.15221359208902;100;0;0.087432666993391;0.15947366293872;100;0;0.078689400294052;0.18055448040295;100;0;0.070820460264646;0.23522675197815;100;0;0.063738414238182;0.36065435363116;100;0;0.057364572814364;0.60583232786063;100;0;0.051628115532927;1.0144802886461;93;0;
Original label; Adversarial label; Disturbance mean; Std; Kurtosis; Skewness;Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);Expected MC noise std; Actual noise std; Original (%); Adversarial (%);
2;3;28.275271958672;8.9313424110043;9.7593836650101;1.289344595776;0.12726258235423;0.1261375747152;100;0;0.11453632411881;0.1262600042639;100;0;0.10308269170693;0.12661466891321;100;0;0.092774422536233;0.12773797875669;100;0;0.08349698028261;0.12996023775209;100;0;0.075147282254349;0.13608002168705;100;0;0.067632554028914;0.15476792297731;100;0;0.060869298626023;0.20295843230362;100;0;0.05478236876342;0.31093556124428;100;0;0.049304131887078;0.52206513293034;99;0;0.044373718698371;0.90550841822813;76;5;
